ID,Outcome
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,0
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,1
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,1
217,0
218,1
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,0
260,1
261,1
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,1

result: 0.69822
